City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Surt,LY,2022-08-07 02:55:07,31.2089,16.5887,79.63,69,0,4.68
253,Inyonga,TZ,2022-08-07 02:57:11,-6.7167,32.0667,58.05,56,40,5.3
254,Mopti,ML,2022-08-07 02:57:12,14.6667,-4.0,84.51,61,56,9.75
255,Gornopravdinsk,RU,2022-08-07 02:57:12,60.05,69.9,69.57,58,62,5.08
256,Vysotsk,RU,2022-08-07 02:57:12,60.6288,28.5705,56.59,73,0,12.12
257,Pacific Grove,US,2022-08-07 02:53:28,36.6177,-121.9166,68.45,79,75,8.05
258,Coquimbo,CL,2022-08-07 02:57:13,-29.9533,-71.3436,55.13,87,75,5.75
259,Tunceli,TR,2022-08-07 02:57:13,39.1083,39.5471,72.7,42,0,5.19
260,Ossora,RU,2022-08-07 02:57:13,59.2353,163.0719,66.58,75,37,8.08
261,Hay River,CA,2022-08-07 02:57:14,60.8156,-115.7999,64.38,68,78,5.75
262,Saint-Philippe,RE,2022-08-07 02:57:14,-21.3585,55.7679,67.59,75,5,2.68
263,Santa Rosalia,MX,2022-08-07 02:57:14,27.3167,-112.2833,83.37,71,56,7.85
264,Fortuna,US,2022-08-07 02:57:15,40.5982,-124.1573,64.92,86,100,6.91
265,Yagodnoye,RU,2022-08-07 02:57:15,62.55,149.6667,72.7,46,55,5.61
266,Barcelona,ES,2022-08-07 02:56:13,41.3888,2.159,81.54,60,0,8.05
267,Elat,IL,2022-08-07 02:55:03,29.5581,34.9482,89.44,45,0,14.97
268,Stornoway,GB,2022-08-07 02:57:16,58.2093,-6.3865,57.16,95,100,11.5
269,Coahuayana,MX,2022-08-07 02:57:16,18.7333,-103.6833,75.27,95,100,3.56
270,Blagoyevo,RU,2022-08-07 02:57:16,63.3667,47.9167,68.56,67,33,7.29
271,Roald,NO,2022-08-07 02:57:17,62.5833,6.1333,56.75,82,100,8.05
272,Coihaique,CL,2022-08-07 02:55:19,-45.5752,-72.0662,36.21,69,75,0.0
273,Nenjiang,CN,2022-08-07 02:57:17,49.1833,125.2167,72.59,62,97,7.54
274,Omagari,JP,2022-08-07 02:58:17,39.45,140.4833,77.76,78,100,1.07
275,Vangaindrano,MG,2022-08-07 02:58:18,-23.35,47.6,63.25,93,5,4.09
276,Liverpool,GB,2022-08-07 02:58:18,53.4106,-2.9779,56.82,83,0,4.61
277,Charters Towers,AU,2022-08-07 02:58:18,-20.1,146.2667,77.18,38,44,11.25
278,Qaqortoq,GL,2022-08-07 02:58:19,60.7167,-46.0333,43.0,94,66,4.74
279,Joao Pinheiro,BR,2022-08-07 02:58:19,-17.7425,-46.1725,68.81,32,21,5.12
280,Kungurtug,RU,2022-08-07 02:58:19,50.5994,97.5228,62.29,34,0,1.7
281,Vila,PT,2022-08-07 02:58:20,42.0304,-8.1588,57.7,86,0,3.62
282,Ixtapa,MX,2022-08-07 02:58:20,20.7,-105.2,77.23,88,100,2.93
283,Miandrivazo,MG,2022-08-07 02:58:21,-19.5167,45.4667,63.23,68,0,1.95
284,Panzhihua,CN,2022-08-07 02:58:21,26.5851,101.7128,80.1,73,55,2.46
285,Belmonte,BR,2022-08-07 02:58:21,-15.8631,-38.8828,72.09,88,74,6.4
286,Alyangula,AU,2022-08-07 02:58:21,-13.8483,136.4192,82.74,60,0,14.07
287,Zheshart,RU,2022-08-07 02:58:22,62.0731,49.5733,68.67,69,0,5.03
288,Mirnyy,RU,2022-08-07 02:58:22,62.5353,113.9611,51.24,76,96,8.99
289,Tapes,BR,2022-08-07 02:58:23,-30.6733,-51.3958,54.01,85,100,6.29
290,Safford,US,2022-08-07 02:58:23,32.834,-109.7076,79.5,56,100,6.82
291,Kismayo,SO,2022-08-07 02:58:23,-0.3582,42.5454,74.43,78,75,16.67
